Avg cost per sq. ft (USD),City,Country,Country Code,Firm Name,Founded In,Primary Categories,Primary Style
15,New Jersey,USA,United States: +1,Studio Mosby,2006,"Commercial , Residential , All Categories","Contemporary , Classical , Traditional"
10,Fixham,United Kingdom,United Kingdom: +44,WM Bonanza,2015,"Residential , Institutional , All Categories","Art Deco , Boho , Industrial"
7.69,London,Scotland,United Kingdom: +44,Das Archon,1998,"All Categories , Institutional , Residential","Gothic , Renaissance , Colonial"
6.85,Coppenhagen,Denmark,Denmark: +45,Inspirox,1895,"Recreational , All Categories , Agricultural","Minimalist , Farmhouse , Classical"
260,New York,USA,United States: +1,Aether Designs,2012,"Residential , All Categories , Mixed-Use",Colonial
55,Dubai,UAE,United Arab Emirates: +971,CityConnect,2015,"All Categories , Infrastructure",Contemporary
170,Los Angeles,USA,United States: +1,InfraTech,2013,"All Categories , Infrastructure",Modern
15,Mumbai,India,India: +91,BuildMetro,2009,"Institutional , Infrastructure , All Categories",Postmodern
120,Shanghai,China,China: +86,HeavyStruct,2010,"Industrial , Agricultural , Infrastructure , All Categories",Industrial
115,Sao Paulo,Brazil,Brazil: +55,IndusBuilt,2014,"Industrial , Commercial , All Categories",Brutalist
130,Detroit,USA,United States: +1,MachinaWorks,2010,"Commercial , Infrastructure , Industrial , All Categories","Contemporary , Modern , Postmodern"
100,Miami,USA,United States: +1,PlayScape,2016,"Recreational , Infrastructure , All Categories","Contemporary , Art Deco , Tropical"
22,Cape Town,South Africa,South Africa: +27,LeisureWorks,2011,"Commercial , All Categories",Contemporary
75,Seoul,South Korea,South Korea: +82,JoyBuild,2018,"Recreational , All Categories",Minimalist
70,Berlin,Germany,Germany: +49,EduStruct,2011,"Institutional , All Categories",Renaissance
130,San Francisco,USA,United States: +1,FutureLearn,2014,"Industrial , All Categories",Classical
3.5,Jaipur,India,India: +91,Rural Visions,2013,"Agricultural , All Categories , Residential","Farmhouse , Traditional"
8.5,Paris,France,France: +33,AgriBuild,2015,"Agricultural , All Categories",Traditional
18,Seattle,USA,United States: +1,GreenRoots,2009,"Agricultural , All Categories",Modern
17.5,Chicago,USA,United States: +1,Unity Build,2008,"Mixed-Use , All Categories",Postmodern
12.5,Singapore,Singapore,Singapore: +65,Spectrum Spaces,2016,Mixed-Use,Postmodern
2.2,Tokyo,Japan,Japan: +81,Futuro Designs,2012,"Mixed-Use , Commercial , Residential , All Categories","Japanese , Traditional , Modern"
1.5,Nairobi,Kenya,Kenya: +254,Living Spaces,2009,"All Categories , Residential","Modern , Postmodern"
4.5,Warsaw,Poland,Poland: +48,Harmony Homes,2015,"All Categories , Residential",Contemporary
20,Sydney,Australia,Australia: +61,Habitat Creators,2000,"Residential , All Categories",Modern
18,Toronto,Canada,Canada: +1,UrbanBlue,2010,"All Categories , Commercial , Industrial",Industrial
210,Dubai,UAE,United Arab Emirates: +971,Vertex Designs,2017,"Commercial , All Categories",Contemporary
160,Helsinki,Finland,Finland: +358,ArchCity,2011,"Commercial , All Categories",Minimalist
